method,dataset,sequence,vr,rmse_m,p_max,esr_camera,rr_camera,esr_measurement,rr_measurement,esr_gps,rr_gps
periodic_opt,euroc,MH_01_easy,0.0,0.355188066438053,0.08459444491149118,2.2246696035242293,88.87665198237885,2.2246696035242293,88.87665198237885,,
periodic_opt,euroc,MH_02_easy,0.0,0.36824017328414377,0.08459444491149118,2.220735785953177,88.89632107023411,2.220735785953177,88.89632107023411,,
periodic_opt,euroc,MH_03_medium,0.0,0.5881476077073267,0.08459444491149118,2.2257431718726424,88.86792452830188,2.2257431718726424,88.86792452830188,,
periodic_opt,euroc,MH_04_medium,0.0,0.5065154067709665,0.08459444491149118,2.2199798183652875,88.90010090817356,2.2199798183652875,88.90010090817356,,
periodic_opt,euroc,MH_05_difficult,0.0,0.46498424933173266,0.08459444491149118,2.223122271724945,88.8838883888389,2.223122271724945,88.8838883888389,,
periodic_opt,euroc,V1_01_easy,0.0,0.23688754781959484,0.08459444491149118,2.2222222222222223,88.8888888888889,2.2222222222222223,88.8888888888889,,
periodic_opt,euroc,V1_02_medium,0.0,0.5132534410400443,0.08459444491149118,2.2289156626506026,88.85542168674698,2.2289156626506026,88.85542168674698,,
periodic_opt,euroc,V1_03_difficult,0.0,0.4184673668568987,0.08459444491149118,2.219047619047619,88.89947594092426,2.219047619047619,88.89947594092426,,
periodic_opt,euroc,V2_01_easy,0.0,0.18396638184902875,0.08459444491149118,2.2242152466367715,88.87892376681614,2.2242152466367715,88.87892376681614,,
periodic_opt,euroc,V2_02_medium,0.0,0.3677840823079937,0.08459444491149118,2.218355806872553,88.90339425587467,2.218355806872553,88.90339425587467,,
periodic_opt,euroc,V2_03_difficult,0.19632706602536074,0.41588270305119285,0.08459444491149118,1.818976825535636,88.88295029396045,1.818976825535636,88.88295029396045,,
event_trigger,euroc,MH_01_easy,0.0,0.1899685346478606,0.08459444491149118,2.4394273127753303,87.80286343612336,2.4394273127753303,87.80286343612336,,
event_trigger,euroc,MH_02_easy,0.0,0.18983484316115407,0.08459444491149118,2.3277591973244145,88.36120401337793,2.3277591973244145,88.36120401337793,,
event_trigger,euroc,MH_03_medium,0.0,0.2764296033615684,0.08459444491149118,5.605854836275841,71.96226415094338,5.605854836275841,71.96226415094338,,
event_trigger,euroc,MH_04_medium,0.0,0.2673560680436805,0.08459444491149118,3.067608476286579,84.6619576185671,3.067608476286579,84.6619576185671,,
event_trigger,euroc,MH_05_difficult,0.0,0.25946226730661154,0.08459444491149118,2.8711579136852525,85.64356435643565,2.8711579136852525,85.64356435643565,,
event_trigger,euroc,V1_01_easy,0.0,0.17237964990840254,0.08459444491149118,2.3130677847658982,88.4346610761705,2.3130677847658982,88.4346610761705,,
event_trigger,euroc,V1_02_medium,0.0,0.283141736279807,0.08459444491149118,6.216867469879518,68.91566265060241,6.216867469879518,68.91566265060241,,
event_trigger,euroc,V1_03_difficult,0.0,0.27458293186831517,0.08459444491149118,4.180952380952381,79.08527870414484,4.180952380952381,79.08527870414484,,
event_trigger,euroc,V2_01_easy,0.0,0.13167209921590656,0.08459444491149118,2.304932735426009,88.47533632286996,2.304932735426009,88.47533632286996,,
event_trigger,euroc,V2_02_medium,0.0,0.25323346255660334,0.08459444491149118,3.784254023488473,81.0704960835509,3.784254023488473,81.0704960835509,,
event_trigger,euroc,V2_03_difficult,0.0005684302579798863,0.2516005581086264,0.08459444491149118,3.804110188019239,76.75040085515766,3.804110188019239,76.75040085515766,,
delay_aware,euroc,MH_01_easy,0.0,0.340227896727218,0.08459444491149118,2.8579295154185025,85.7103524229075,2.8579295154185025,85.7103524229075,,
delay_aware,euroc,MH_02_easy,0.0,0.35471089614738655,0.08459444491149118,2.8561872909698995,85.7190635451505,2.8561872909698995,85.7190635451505,,
